ref,alias_refs,doc_type_code,name,category,grp,obligation,mode,sections,stream,archetype,silver_storage,refresh_cadence,source_system,notes,field_contract,table_name
A1.01,,SALES_REGISTER,Sales register — outward supply invoice-level,A,A1,MANDATORY,BOTH,"A1,A2,A3,A6,A7,A8,A9",B,1,STRUCTURED,CONTINUOUS,CLIENT_ERP,Primary source for all output tax sections. Line-item level mandatory.,"direction=OUTWARD;counterparty=OPTIONAL;doc=place_of_supply:text!,invoice_type:text",sales_register
A1.02,,CREDIT_DEBIT_NOTE_REGISTER,Credit note and debit note register,A,A1,MANDATORY,BOTH,"A1,A2,A8,B8",B,1,STRUCTURED,CONTINUOUS,CLIENT_ERP,Must carry original invoice number. Unlinked CNs are an immediate finding.,"direction=OUTWARD;counterparty=OPTIONAL;doc=note_type:text!,original_doc_number:text!,original_doc_date:date!,reason:text",credit_debit_note_register
A1.03,,PURCHASE_REGISTER,Purchase register — inward supply invoice-level,A,A1,MANDATORY,BOTH,"B1,B2,B3,B4,B5,B8",B,1,STRUCTURED,CONTINUOUS,CLIENT_ERP,"Write path retired 2026-08-10 (TYPED-TABLES-PLAN.md 10 step 4) — promotes via purchase_register (tenant 010) and src/silver/registers, not transaction_document, per an explicit guard in src/silver/promote.py. archetype stays 1: it is mandatory classification data whenever in_scope (document_type_scope_ck, shared 003), not a write-path switch. GL code and cost centre mandatory for Rule 42 pool segregation.",direction=INWARD;counterparty=REQUIRED;doc=payment_due_date:date;line=itc_eligibility:text,purchase_register
A1.04,,ADVANCE_RECEIPT_REGISTER,Advance receipt register,A,A1,CONDITIONAL,BOTH,A4,B,2,STRUCTURED,PERIODIC,CLIENT_ERP,Required for all service taxpayers.,,advance_receipt_register
A1.05,,UNBILLED_REVENUE_SCHEDULE,Unbilled revenue schedule,A,A1,CONDITIONAL,BOTH,A5,B,2,STRUCTURED,PERIODIC,CLIENT_BOOKS,date_of_service_completion is the critical field. Without it the 30-day rule is flag-only.,,unbilled_revenue_schedule
A1.06,,JOBWORK_DISPATCH_REGISTER,Job work dispatch register,A,A1,CONDITIONAL,BOTH,A5,B,2,STRUCTURED,PERIODIC,CLIENT_ERP,Dispatch date triggers the 1-year/3-year statutory return deadline.,,job_work_dispatch_register
A1.07,,CONTINUOUS_SUPPLY_CONTRACT_REGISTER,Running account / continuous supply contract register,A,A1,CONDITIONAL,BOTH,A5,B,8,HYBRID,ONE_TIME,CLIENT_ERP,Section 12(4) continuous supply timing check. Contract terms extracted.,,running_account_contract_register
A1.08,,AUDITED_PROFIT_AND_LOSS,Audited Profit and Loss Account,A,A1,MANDATORY,BOTH,"A2,A3",B,4,STRUCTURED,PERIODIC,CLIENT_BOOKS,Starting point for GSTR-9C Table 5 turnover bridge.,,audited_pl_account
A1.09,,TRIAL_BALANCE,Trial balance — GL-level detail,A,A1,MANDATORY,BOTH,"A2,A3,B4",B,4,STRUCTURED,PERIODIC,CLIENT_BOOKS,Maps each GL to GST treatment. Required for Rule 42 pool segregation.,,trial_balance
A1.10,,BALANCE_SHEET,Balance sheet — full year,A,A1,MANDATORY,BOTH,"A4,A5,B2,B7",B,4,STRUCTURED,PERIODIC,CLIENT_BOOKS,Multiple uses across output and input tax sections.,,balance_sheet
A1.11,,FIXED_ASSET_REGISTER,Fixed asset register — asset-level,A,A1,MANDATORY,BOTH,"A3,B7",B,2,STRUCTURED,PERIODIC,CLIENT_BOOKS,Rule 44 disposal reversal cannot be computed from aggregate totals.,,fixed_asset_register
A1.12,,CREDITOR_AGEING_REPORT,Creditor ageing report,A,A1,MANDATORY,BOTH,B2,B,2,STRUCTURED,PERIODIC,CLIENT_BOOKS,ADR-006 gap. Primary input for 180-day payment rule.,,creditor_ageing_report
A1.13,,SUPPLIER_PAYMENT_REGISTER,Payment register — supplier payments,A,A1,MANDATORY,BOTH,B2,B,2,STRUCTURED,PERIODIC,CLIENT_BOOKS,Bank transfer date is the payment date. Cheque issue date is not.,,payment_register
A1.14,,BANK_STATEMENT_OUTWARD,Bank statements — outward payments to suppliers,A,A1,MANDATORY,BOTH,B2,B,2,HYBRID,PERIODIC,CLIENT_BANK,ADR-006 gap. Authoritative record of payment dates for the 180-day rule.,,bank_statement_outward
A1.15,,BANK_STATEMENT_INWARD_FX,Bank statements — inward foreign currency receipts,A,A1,CONDITIONAL,BOTH,A8,B,2,HYBRID,PERIODIC,CLIENT_BANK,ADR-006 gap. Supports FIRC/BRC reconciliation.,,bank_statement_inward_forex
A1.16,,STOCK_REGISTER,Stock / inventory register,A,A1,CONDITIONAL,BOTH,"A1,B3",B,2,STRUCTURED,PERIODIC,CLIENT_WMS,Section 17(5)(h) write-off ITC reversal.,,stock_inventory_register
A1.17,,SKU_MASTER,Product / SKU master with MRP flag,A,A1,CONDITIONAL,BOTH,A1,B,7,STRUCTURED,PERIODIC,CLIENT_MASTER_DATA,ADR-006 gap. Cannot be derived from the invoice register.,,product_sku_master
A1.18,,INTER_GSTIN_TRANSACTION_REGISTER,Inter-GSTIN transaction register,A,A1,CONDITIONAL,BOTH,A7,B,2,STRUCTURED,PERIODIC,CLIENT_ERP,Required for multi-GSTIN entities. Traverses entities within one tenant.,,inter_gstin_transaction_register
A1.19,,COST_ALLOCATION_REGISTER,Cost allocation register — HO to branch,A,A1,CONDITIONAL,BOTH,A7,B,2,STRUCTURED,PERIODIC,CLIENT_BOOKS,Allocations without invoice may constitute taxable inter-GSTIN supplies.,,cost_allocation_register
A1.20,"D1.01,D1.02,D1.03,D1.04,D1.05,D1.06,D1.07",MARKETPLACE_SETTLEMENT_REPORT,Platform settlement reports — MTR/GTR/SSR/DRR/VRET,A,A1,CONDITIONAL,BOTH,A9,C,2,STRUCTURED,PERIODIC,MARKETPLACE_OPERATOR,DUPLICATE — same documents as D1.01-07. Canonical row is D1.*; this ref is an alias. Stream C not B — the operator is authoritative not the client.,,
A1.21,,ITC_REVERSAL_REGISTER,ITC reversal register — Rule 42/43 and s.17(5),A,A1,CONDITIONAL,BOTH,"B3,B4",B,2,STRUCTURED,PERIODIC,CLIENT_ERP,Cross-checked against GSTR-3B declarations.,,itc_reversal_register
A1.22,,RCM_REGISTER,RCM register,A,A1,CONDITIONAL,BOTH,B5,B,2,STRUCTURED,PERIODIC,CLIENT_ERP,Particularly important for import of services.,,rcm_register
A1.23,,FOREIGN_CURRENCY_PAYMENT_REGISTER,Foreign currency payment register,A,A1,CONDITIONAL,BOTH,B5,B,2,STRUCTURED,PERIODIC,CLIENT_BANK,ADR-006 gap. Completeness gate — if absent ALL import-of-services checks are INCOMPLETE.,,foreign_currency_payment_register
A1.24,,HO_COMMON_INPUT_SERVICE_INVOICE,Common input service invoices at HO,A,A1,CONDITIONAL,BOTH,B6,B,1,STRUCTURED,CONTINUOUS,CLIENT_ERP,Required for ISD distribution verification post 01 Oct 2023.,"direction=INWARD;counterparty=REQUIRED;doc=isd_distribution_basis:text!,recipient_gstin:gstin!",common_input_service_invoice
A2.01,,CERTIFICATE_OF_INCORPORATION,Certificate of Incorporation with CIN,A,A2,MANDATORY,BOTH,"A6,A7",B,7,HYBRID,ONE_TIME,CLIENT_MCA,ADR-006 gap. CIN is the anchor for MCA registry cross-checks.,,
A2.02,,MEMORANDUM_ARTICLES_OF_ASSOCIATION,Memorandum and Articles of Association,A,A2,CONDITIONAL,FORENSIC,"A6,A7",B,8,HYBRID,ONE_TIME,CLIENT,Establishes authorised business scope.,,
A2.03,,SHAREHOLDING_PATTERN,Shareholding pattern — per year in scope,A,A2,MANDATORY,BOTH,"A6,A7",B,7,STRUCTURED,PERIODIC,CLIENT_MCA_SEBI,ADR-006 gap. Identifies 25%+ holders — triggers s.15 related person test. Must be period-specific.,,
A2.04,,RELATED_PARTY_REGISTER,Related party register,A,A2,MANDATORY,BOTH,"A6,A7",B,7,STRUCTURED,PERIODIC,CLIENT_DECLARATION,ADR-006 gap. Cannot be derived from transaction data. Without it ALL A6 checks are INCOMPLETE.,,
A2.05,,RELATED_PARTY_DISCLOSURE_IND_AS_24,Ind AS 24 / AS-18 related party disclosure,A,A2,MANDATORY,BOTH,"A6,A7",B,4,HYBRID,PERIODIC,CLIENT_AUDITORS,ADR-006 gap. Auditor-verified related party list. Per year in scope.,,
A2.06,,JOINT_VENTURE_AGREEMENT,Joint venture agreement,A,A2,CONDITIONAL,BOTH,A6,B,8,HYBRID,ONE_TIME,CLIENT,s.15 related person test — both controlling a third person.,,
A2.07,,GSTIN_REGISTER,GSTIN register — all GSTINs under the PAN,A,A2,MANDATORY,BOTH,"A7,B6",B,7,STRUCTURED,ONE_TIME,CLIENT_GSTN,ADR-006 gap. Missing GSTINs mean incomplete inter-GSTIN reconciliation.,,
A3.01,,DIRECTOR_LIST_WITH_DIN,List of directors with DIN,A,A3,CONDITIONAL,BOTH,"A6,B5",B,7,STRUCTURED,PERIODIC,CLIENT_MCA,ADR-006 gap. Required for RCM determination and related party identification.,,
A3.02,,FORM_DIR_12,Form DIR-12 — director appointment and cessation,A,A3,CONDITIONAL,FORENSIC,"A6,B5",B,7,HYBRID,ONE_TIME,CLIENT_MCA,Establishes periods of directorship for period-specific RCM.,,
A3.03,,BOARD_RESOLUTION_DIRECTOR_APPOINTMENT,Board resolution appointing whole-time / managing director,A,A3,CONDITIONAL,BOTH,"A6,B5",B,8,HYBRID,ONE_TIME,CLIENT,Without this the default assumption is non-executive — RCM at 18%.,,
A3.04,,DIRECTOR_SERVICE_AGREEMENT,Director service agreement / employment contract,A,A3,CONDITIONAL,BOTH,"A6,B5",B,8,HYBRID,ONE_TIME,CLIENT,Establishes employer-employee relationship for Schedule III exclusion.,,
A3.05,,PAYROLL_TDS_REGISTER,Payroll and TDS register,A,A3,CONDITIONAL,BOTH,"A6,B5",B,2,STRUCTURED,PERIODIC,CLIENT_HR,TDS code is the primary determinant of employee vs contractor.,,
A3.06,,KMP_LIST,Key managerial personnel list,A,A3,CONDITIONAL,BOTH,A6,B,7,STRUCTURED,PERIODIC,CLIENT_MCA,Verifiable against MCA filings.,,
A4.01,,COST_SHARING_AGREEMENT,Cost-sharing agreements,A,A4,CONDITIONAL,BOTH,"A6,A7,B5",B,8,HYBRID,ONE_TIME,CLIENT,Circular 159/15/2021 requires documented evidence of cost-sharing basis.,,
